trial,image,tracking data
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.43708"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.45331"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.46997"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.48627"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.50281"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.51926"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.53564"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.55211"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.56854"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.58492"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.60137"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.61781"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.63422"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.65074"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.66708"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.68332"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.69994"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.71639"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
