subject,trial,image,tracking data
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.81238"" FPOGX=""0.52108"" FPOGY=""0.63417"" FPOGS=""11.61515"" FPOGD=""0.19724"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.52081"" BPOGY=""0.61732"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.82862"" FPOGX=""0.52159"" FPOGY=""0.63374"" FPOGS=""11.61515"" FPOGD=""0.21348"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.52813"" BPOGY=""0.62819"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.84524"" FPOGX=""0.52105"" FPOGY=""0.63296"" FPOGS=""11.61515"" FPOGD=""0.23010"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51349"" BPOGY=""0.62200"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.86165"" FPOGX=""0.52057"" FPOGY=""0.63228"" FPOGS=""11.61515"" FPOGD=""0.24651"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51349"" BPOGY=""0.62200"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.87795"" FPOGX=""0.52071"" FPOGY=""0.63398"" FPOGS=""11.61515"" FPOGD=""0.26280"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.52297"" BPOGY=""0.66132"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.89454"" FPOGX=""0.52080"" FPOGY=""0.63545"" FPOGS=""11.61515"" FPOGD=""0.27939"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.52227"" BPOGY=""0.66037"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.91093"" FPOGX=""0.52088"" FPOGY=""0.63676"" FPOGS=""11.61515"" FPOGD=""0.29579"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.52227"" BPOGY=""0.66037"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.92726"" FPOGX=""0.52103"" FPOGY=""0.63884"" FPOGS=""11.61515"" FPOGD=""0.31212"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.52401"" BPOGY=""0.67833"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.94375"" FPOGX=""0.52070"" FPOGY=""0.63827"" FPOGS=""11.61515"" FPOGD=""0.32860"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51402"" BPOGY=""0.62692"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.96006"" FPOGX=""0.52040"" FPOGY=""0.63776"" FPOGS=""11.61515"" FPOGD=""0.34491"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51402"" BPOGY=""0.62692"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.97660"" FPOGX=""0.51943"" FPOGY=""0.63909"" FPOGS=""11.61515"" FPOGD=""0.36145"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.49816"" BPOGY=""0.66837"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""11.99295"" FPOGX=""0.51910"" FPOGY=""0.63942"" FPOGS=""11.61515"" FPOGD=""0.37780"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51151"" BPOGY=""0.64706"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.00941"" FPOGX=""0.51880"" FPOGY=""0.63973"" FPOGS=""11.61515"" FPOGD=""0.39426"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51151"" BPOGY=""0.64706"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.02584"" FPOGX=""0.51771"" FPOGY=""0.63975"" FPOGS=""11.61515"" FPOGD=""0.41069"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.49065"" BPOGY=""0.64028"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.04207"" FPOGX=""0.51800"" FPOGY=""0.63818"" FPOGS=""11.61515"" FPOGD=""0.42692"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.52534"" BPOGY=""0.59752"" BPOGV=""1"" />
"
