trial,image,time,Fixation POG X,Fixation POG Y,Fixation POG time since calibration,Fixation POG duration,Fixation POG ID,Valid POG fixation?,Best POG X,Best POG Y,Valid Best POG fixation?
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.73270,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.74925,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.76570,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.78229,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.79846,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.81489,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.83130,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.84780,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.86422,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.88066,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.89705,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.91351,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.92991,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.94638,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.96287,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.97925,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,14.99562,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.01188,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.02846,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.04495,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.06127,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
